Feature,Mean_SHAP_Value
LOC_method,0.05829415940814155
NEST,0.050782517521972985
code_complexity,0.034784990175452016
LENGTH,0.034399578131544144
LOC,0.03031433298843749
CYCLO_method,0.029294680638482756
NOP_method,0.028686212002308125
TOKEN_COUNT,0.018141722392077186
loc_nom_normalized,0.017933162706019558
param_loc_ratio,0.0030267559335513407
