smell_type,severity,LOC,NOM,LOC_method,CYCLO_method,NOP_method,NEST,TOKEN_COUNT,LENGTH,FAN_IN,FAN_OUT,ATTR_COUNT,INHERIT_DEPTH
LongParameterList,2,0,0,46,21,8,6,198,57,0,0,0,0
LongMethod,2,0,0,91,25,1,3,524,154,0,43,0,0
LongMethod,2,0,0,75,12,16,4,441,84,0,8,0,0
LargeClass,2,384,26,0,0,0,0,1809,384,0,30,2,2
LongMethod,3,0,0,199,19,1,2,1268,239,0,42,0,0
LongParameterList,1,0,0,56,7,8,2,357,91,0,10,0,0
LargeClass,2,355,18,0,0,0,0,2064,355,0,11,1,2
LargeClass,3,1932,27,0,0,0,0,4899,1932,0,92,2,2
DeepNesting,2,0,0,29,17,3,6,241,29,0,13,0,0
LargeClass,1,399,10,0,0,0,0,1894,399,0,27,34,2
LongParameterList,1,0,0,54,23,7,3,293,66,0,0,0,0
LongParameterList,3,0,0,55,15,11,2,388,57,0,3,0,0
LongMethod,1,0,0,52,21,7,3,442,81,0,5,0,0
DeepNesting,2,0,0,97,25,2,6,968,103,0,29,0,0
LargeClass,2,439,13,0,0,0,0,1409,439,0,56,32,2
LongParameterList,3,0,0,250,25,35,5,1783,449,0,90,0,0
LongParameterList,1,0,0,31,6,21,2,231,34,0,3,0,0
DeepNesting,1,0,0,40,8,4,4,194,63,0,2,0,0
LargeClass,2,364,12,0,0,0,0,1617,364,0,54,1,0
NoneSmellorUnknown,0,0,0,2,1,2,0,13,4,0,0,0,0
NoneSmellorUnknown,0,125,15,0,0,0,0,444,125,0,11,0,2
NoneSmellorUnknown,0,0,0,4,1,1,0,43,4,0,2,0,0
DeepNesting,2,0,0,34,20,3,7,318,40,0,6,0,0
LongParameterList,1,0,0,109,25,6,5,472,157,0,7,0,0
LongParameterList,2,0,0,69,10,8,2,194,69,0,10,0,0
NoneSmellorUnknown,0,4,0,0,0,0,0,0,4,0,0,0,2
LongMethod,3,0,0,162,25,2,4,1027,234,0,128,0,0
DeepNesting,2,0,0,15,7,2,6,88,15,0,0,0,0
NoneSmellorUnknown,0,0,0,2,1,1,0,12,2,0,0,0,0
LargeClass,3,644,26,0,0,0,0,5048,644,0,162,0,2
LongParameterList,3,0,0,82,23,11,3,303,87,0,15,0,0
LongMethod,3,0,0,121,10,14,2,414,138,0,10,0,0
NoneSmellorUnknown,0,65,3,0,0,0,0,371,65,0,14,0,2
LongMethod,3,0,0,146,25,6,5,981,274,0,19,0,0
DeepNesting,2,0,0,18,8,4,6,178,20,0,11,0,0
LongParameterList,3,0,0,41,14,10,2,325,50,0,1,0,0
LargeClass,3,3963,109,0,0,0,0,11972,3963,0,535,17,2
LongMethod,2,0,0,93,11,15,2,433,101,0,2,0,0
LargeClass,1,248,17,0,0,0,0,478,248,0,4,16,0
LargeClass,2,367,24,0,0,0,0,1483,367,0,12,13,1
LongParameterList,2,0,0,51,12,9,2,224,61,0,6,0,0
DeepNesting,3,0,0,54,21,2,20,301,55,0,21,0,0
LongParameterList,1,0,0,23,8,7,1,144,43,0,4,0,0
LongParameterList,2,0,0,36,16,9,3,319,68,0,5,0,0
LongParameterList,2,0,0,92,9,16,0,460,102,0,0,0,0
DeepNesting,1,0,0,28,7,3,5,300,29,0,6,0,0
LargeClass,2,350,20,0,0,0,0,1851,350,0,33,6,3
LongParameterList,1,0,0,46,12,6,3,358,54,0,1,0,0
LongParameterList,3,0,0,67,13,10,3,390,83,0,6,0,0
LongParameterList,2,0,0,43,8,11,2,195,44,0,1,0,0
DeepNesting,3,0,0,33,15,3,8,295,36,0,2,0,0
DeepNesting,1,0,0,47,9,3,5,225,59,0,0,0,0
DeepNesting,1,0,0,17,5,2,4,106,22,0,0,0,0
LargeClass,2,308,19,0,0,0,0,972,308,0,16,6,0
LongMethod,3,0,0,127,25,3,9,2272,129,0,32,0,0
LargeClass,1,290,12,0,0,0,0,1154,290,0,6,3,2
LongMethod,1,0,0,53,7,11,3,245,69,0,6,0,0
LongMethod,2,0,0,96,25,3,14,644,104,0,19,0,0
DeepNesting,3,0,0,89,25,1,12,544,89,0,12,0,0
LargeClass,2,322,20,0,0,0,0,1483,322,0,18,0,2
DeepNesting,2,0,0,126,25,9,7,1026,159,0,19,0,0
LongMethod,3,0,0,132,21,15,3,600,153,0,20,0,0
LongMethod,1,0,0,61,10,1,3,347,90,0,9,0,0
DeepNesting,2,0,0,25,14,1,6,309,34,0,9,0,0
LongMethod,1,0,0,59,11,3,4,310,81,0,3,0,0
DeepNesting,1,0,0,19,4,1,4,170,37,0,4,0,0
LargeClass,2,401,13,0,0,0,0,1550,401,0,56,5,2
LongMethod,1,0,0,72,18,3,2,321,93,0,18,0,0
LargeClass,1,213,11,0,0,0,0,594,213,0,4,3,0
LongMethod,1,0,0,121,6,1,4,1273,139,0,4,0,0
DeepNesting,2,0,0,38,25,2,7,379,43,0,19,0,0
LargeClass,1,792,11,0,0,0,0,3429,792,0,78,13,5
LongMethod,2,0,0,99,17,1,2,705,137,0,9,0,0
LongParameterList,3,0,0,164,25,17,5,827,188,0,78,0,0
LongMethod,2,0,0,84,18,0,2,272,106,0,0,0,0
DeepNesting,1,0,0,70,18,5,4,512,136,0,12,0,0
DeepNesting,3,0,0,90,22,3,9,560,94,0,6,0,0
DeepNesting,2,0,0,75,13,3,6,568,82,0,5,0,0
LongParameterList,1,0,0,67,13,6,3,426,84,0,25,0,0
LongParameterList,3,0,0,90,22,10,3,696,139,0,20,0,0
DeepNesting,3,0,0,64,22,4,8,304,67,0,10,0,0
DeepNesting,3,0,0,19,9,0,8,108,19,0,1,0,0
LongParameterList,1,0,0,30,8,6,3,232,41,0,1,0,0
NoneSmellorUnknown,0,0,0,5,1,1,0,18,19,0,1,0,0
NoneSmellorUnknown,0,0,0,11,3,1,0,71,11,0,0,0,0
DeepNesting,3,0,0,42,12,2,10,349,57,0,4,0,0
DeepNesting,3,0,0,108,25,1,8,767,302,0,62,0,0
LongParameterList,3,0,0,62,18,13,5,732,159,0,7,0,0
DeepNesting,2,0,0,38,19,2,6,391,54,0,11,0,0
LongParameterList,1,0,0,20,6,10,4,122,22,0,1,0,0
DeepNesting,2,0,0,14,8,1,6,97,17,0,6,0,0
LargeClass,2,389,13,0,0,0,0,2191,389,0,21,12,2
DeepNesting,2,0,0,103,25,2,6,519,142,0,7,0,0
DeepNesting,3,0,0,32,12,2,8,235,32,0,7,0,0
LongMethod,3,0,0,206,25,13,4,1393,234,0,5,0,0
LongParameterList,2,0,0,88,8,14,3,438,99,0,4,0,0
LargeClass,3,1141,37,0,0,0,0,4266,1141,0,59,2,2
LargeClass,3,405,19,0,0,0,0,2141,405,0,9,0,1
LargeClass,1,268,14,0,0,0,0,1665,268,0,16,11,3
LongParameterList,2,0,0,51,17,8,4,376,56,0,11,0,0
LargeClass,2,305,17,0,0,0,0,1787,305,0,97,26,2
LargeClass,3,577,36,0,0,0,0,4004,577,0,78,1,3
DeepNesting,2,0,0,30,13,2,6,217,37,0,5,0,0
LargeClass,2,544,13,0,0,0,0,3593,544,0,43,17,2
NoneSmellorUnknown,0,0,0,44,1,1,0,279,64,0,6,0,0
LongMethod,1,0,0,53,15,6,4,261,110,0,11,0,0
LongParameterList,2,0,0,41,8,17,5,368,55,0,3,0,0
DeepNesting,2,0,0,81,17,3,7,900,88,0,5,0,0
LongParameterList,3,0,0,121,25,11,4,778,152,0,25,0,0
LargeClass,1,282,20,0,0,0,0,2057,282,0,45,0,2
NoneSmellorUnknown,0,0,0,26,8,1,2,126,33,0,2,0,0
LargeClass,2,397,24,0,0,0,0,3197,397,0,65,44,1
LongParameterList,1,0,0,24,7,6,3,163,24,0,1,0,0
NoneSmellorUnknown,0,0,0,6,1,1,0,55,7,0,0,0,0
LongMethod,3,0,0,113,11,12,4,419,130,0,9,0,0
DeepNesting,3,0,0,35,11,3,8,215,61,0,4,0,0
LongMethod,2,0,0,93,25,9,4,460,108,0,35,0,0
DeepNesting,1,0,0,72,25,1,4,552,86,0,21,0,0
LongParameterList,1,0,0,22,8,7,2,235,36,0,2,0,0
LongParameterList,2,0,0,42,12,8,2,273,47,0,5,0,0
LargeClass,2,344,17,0,0,0,0,861,344,0,3,46,2
LongParameterList,2,0,0,42,8,9,5,441,53,0,5,0,0
