smell_type,severity,LOC,NOM,LOC_method,CYCLO_method,NOP_method,NEST,TOKEN_COUNT,LENGTH,FAN_IN,FAN_OUT,ATTR_COUNT,INHERIT_DEPTH
LongParameterList,3,0,0,363,25,25,11,1590,413,0,58,0,0
LongParameterList,2,0,0,52,9,9,5,215,64,0,4,0,0
LargeClass,1,222,13,0,0,0,0,1797,222,0,11,0,2
LongMethod,2,0,0,75,15,7,5,456,90,0,6,0,0
LongMethod,2,0,0,97,12,3,9,356,111,0,7,0,0
LargeClass,2,320,12,0,0,0,0,177,320,0,0,0,2
LargeClass,1,233,10,0,0,0,0,1449,233,0,27,6,2
LongMethod,3,0,0,108,24,4,4,555,116,0,10,0,0
LargeClass,2,692,12,0,0,0,0,3049,692,0,20,14,2
LongMethod,2,0,0,93,23,1,5,672,128,0,10,0,0
NoneSmellorUnknown,0,0,0,4,1,1,0,47,4,0,0,0,0
NoneSmellorUnknown,0,0,0,90,1,0,0,0,90,0,1,0,0
LongParameterList,1,0,0,24,6,6,1,150,51,0,2,0,0
LargeClass,3,1315,56,0,0,0,0,5371,1315,0,221,42,2
DeepNesting,3,0,0,86,16,6,11,699,91,0,25,0,0
LongParameterList,2,0,0,36,12,9,2,489,49,0,12,0,0
LongMethod,1,0,0,70,12,5,3,414,147,0,0,0,0
LongParameterList,3,0,0,61,13,13,2,460,71,0,12,0,0
LongParameterList,2,0,0,93,19,9,3,794,113,0,26,0,0
LongParameterList,1,0,0,30,7,10,2,200,36,0,3,0,0
DeepNesting,3,0,0,32,14,4,11,199,32,0,3,0,0
LongMethod,2,0,0,83,17,4,6,743,96,0,16,0,0
LargeClass,2,364,13,0,0,0,0,1032,364,0,12,4,2
LongMethod,3,0,0,109,24,2,3,508,125,0,12,0,0
LongMethod,3,0,0,115,23,7,5,649,164,0,30,0,0
LongMethod,3,0,0,127,17,0,3,781,153,0,20,0,0
LargeClass,1,663,11,0,0,0,0,3656,663,0,165,0,1
LongParameterList,1,0,0,53,8,7,1,527,62,0,8,0,0
LongParameterList,2,0,0,108,14,9,4,716,134,0,14,0,0
LargeClass,2,438,14,0,0,0,0,1927,438,0,65,13,0
LargeClass,2,301,13,0,0,0,0,1394,301,0,46,14,2
LongParameterList,1,0,0,16,6,6,2,102,19,0,4,0,0
LongParameterList,3,0,0,145,15,11,1,718,154,0,21,0,0
LongMethod,1,0,0,62,15,0,2,395,71,0,22,0,0
LongMethod,2,0,0,83,11,3,5,438,132,0,25,0,0
LongParameterList,2,0,0,52,8,10,4,377,57,0,12,0,0
DeepNesting,2,0,0,85,15,2,7,556,137,0,11,0,0
NoneSmellorUnknown,0,0,0,3,1,2,0,17,3,0,0,0,0
LargeClass,1,246,11,0,0,0,0,1385,246,0,17,3,1
LongParameterList,3,0,0,144,12,11,2,368,152,0,4,0,0
DeepNesting,2,0,0,57,21,1,6,309,60,0,11,0,0
DeepNesting,2,0,0,26,9,1,6,213,45,0,2,0,0
LongMethod,3,0,0,326,25,29,4,1617,383,0,41,0,0
LongMethod,2,0,0,75,12,1,4,451,89,0,7,0,0
DeepNesting,3,0,0,69,25,4,16,483,73,0,12,0,0
LargeClass,3,754,15,0,0,0,0,3562,754,0,79,24,2
LargeClass,1,248,20,0,0,0,0,1472,248,0,30,10,2
LongParameterList,2,0,0,50,9,8,3,314,80,0,18,0,0
LongMethod,1,0,0,67,25,1,3,513,75,0,5,0,0
DeepNesting,3,0,0,119,20,2,10,476,127,0,4,0,0
LongParameterList,2,0,0,60,8,12,1,316,80,0,20,0,0
LongMethod,2,0,0,78,10,3,3,436,83,0,4,0,0
LongParameterList,1,0,0,74,7,11,1,348,76,0,10,0,0
DeepNesting,1,0,0,54,25,3,5,541,72,0,13,0,0
LongMethod,1,0,0,63,12,6,8,488,100,0,9,0,0
LongParameterList,3,0,0,317,25,21,7,1470,531,0,63,0,0
LargeClass,2,322,13,0,0,0,0,1754,322,0,59,19,0
LongMethod,2,0,0,75,13,17,3,555,95,0,6,0,0
LongMethod,2,0,0,78,18,0,5,474,106,0,7,0,0
DeepNesting,2,0,0,21,6,1,6,138,21,0,4,0,0
LongMethod,1,0,0,63,13,2,4,374,80,0,15,0,0
LargeClass,3,951,15,0,0,0,0,4441,951,0,109,12,6
LargeClass,2,694,14,0,0,0,0,3352,694,0,103,27,0
DeepNesting,3,0,0,59,25,1,26,300,60,0,0,0,0
LongParameterList,2,0,0,61,12,8,3,520,86,0,8,0,0
DeepNesting,1,0,0,29,11,3,4,169,39,0,1,0,0
LargeClass,2,319,16,0,0,0,0,2007,319,0,34,25,2
LargeClass,2,561,13,0,0,0,0,1365,561,0,48,4,2
DeepNesting,1,0,0,16,5,4,4,155,16,0,2,0,0
LargeClass,3,697,36,0,0,0,0,5316,697,0,126,9,0
LongParameterList,2,0,0,94,17,8,3,617,152,0,15,0,0
DeepNesting,2,0,0,34,7,2,6,617,38,0,6,0,0
LargeClass,1,299,10,0,0,0,0,1292,299,0,37,6,2
LongMethod,3,0,0,409,25,29,4,1892,488,0,28,0,0
LongMethod,2,0,0,88,11,1,3,327,103,0,15,0,0
LongParameterList,3,0,0,167,25,17,7,1797,205,0,25,0,0
DeepNesting,3,0,0,48,16,2,8,465,48,0,4,0,0
NoneSmellorUnknown,0,0,0,13,4,1,2,49,14,0,1,0,0
LargeClass,3,411,21,0,0,0,0,1809,411,0,24,14,0
LargeClass,3,465,27,0,0,0,0,2291,465,0,42,14,1
LargeClass,2,308,12,0,0,0,0,815,308,0,70,0,2
LongMethod,2,0,0,89,21,7,5,512,111,0,7,0,0
LongParameterList,1,0,0,28,10,6,3,197,29,0,10,0,0
LongParameterList,1,0,0,54,9,7,1,245,69,0,9,0,0
LongParameterList,1,0,0,63,6,20,1,224,73,0,6,0,0
LargeClass,1,274,16,0,0,0,0,1184,274,0,27,5,2
NoneSmellorUnknown,0,0,0,36,2,6,1,190,37,0,3,0,0
LongMethod,1,0,0,56,13,2,3,361,62,0,11,0,0
LongMethod,1,0,0,56,10,3,2,389,69,0,8,0,0
LongParameterList,2,0,0,53,12,8,3,506,71,0,14,0,0
LongMethod,3,0,0,142,25,1,2,1959,202,0,17,0,0
LargeClass,3,445,28,0,0,0,0,3571,445,0,28,1,2
NoneSmellorUnknown,0,0,0,34,1,0,0,0,34,0,2,0,0
DeepNesting,3,0,0,285,25,3,18,2529,300,0,34,0,0
DeepNesting,3,0,0,118,25,1,25,576,127,0,26,0,0
LongMethod,2,0,0,92,24,7,4,630,140,0,26,0,0
LargeClass,1,350,11,0,0,0,0,1243,350,0,12,6,2
LargeClass,1,275,18,0,0,0,0,1709,275,0,66,2,0
LongMethod,1,0,0,56,16,2,3,346,60,0,10,0,0
DeepNesting,3,0,0,94,25,1,9,863,129,0,14,0,0
LargeClass,1,227,17,0,0,0,0,1153,227,0,28,8,2
LongMethod,1,0,0,61,7,4,3,131,71,0,7,0,0
DeepNesting,1,0,0,177,25,2,5,1006,191,0,13,0,0
LargeClass,3,1533,18,0,0,0,0,6708,1533,0,232,12,8
LongMethod,3,0,0,493,25,33,4,2386,577,0,47,0,0
DeepNesting,1,0,0,38,13,11,4,225,41,0,3,0,0
DeepNesting,3,0,0,33,11,1,10,459,33,0,0,0,0
LongMethod,2,0,0,75,12,18,3,418,82,0,7,0,0
LongMethod,1,0,0,61,13,4,3,483,79,0,16,0,0
LongMethod,3,0,0,289,25,0,0,1541,319,0,0,0,0
LongParameterList,1,0,0,74,7,22,2,392,77,0,4,0,0
LongMethod,3,0,0,115,15,10,2,508,125,0,15,0,0
LongParameterList,3,0,0,90,12,32,2,503,98,0,7,0,0
DeepNesting,1,0,0,175,20,3,4,1452,233,0,29,0,0
LongMethod,2,0,0,239,8,2,5,4227,279,0,184,0,0
LargeClass,3,978,21,0,0,0,0,4201,978,0,33,3,1
LongParameterList,1,0,0,103,12,7,3,539,126,0,7,0,0
DeepNesting,1,0,0,38,7,1,4,296,39,0,4,0,0
LongParameterList,1,0,0,29,11,6,1,191,57,0,8,0,0
LongParameterList,1,0,0,53,6,9,3,224,62,0,3,0,0
LongMethod,1,0,0,51,20,7,5,634,59,0,22,0,0
NoneSmellorUnknown,0,0,0,14,1,6,0,70,14,0,0,0,0
LargeClass,1,229,23,0,0,0,0,2327,229,0,66,0,1
LargeClass,3,462,80,0,0,0,0,2895,462,0,115,64,0
LongParameterList,2,0,0,50,15,9,4,339,64,0,1,0,0
LongMethod,2,0,0,86,11,12,5,472,94,0,26,0,0
DeepNesting,1,0,0,13,6,2,4,117,15,0,4,0,0
LargeClass,3,2509,69,0,0,0,0,7816,2509,0,205,31,0
LargeClass,2,319,16,0,0,0,0,1730,319,0,9,3,2
LongMethod,2,0,0,84,25,3,4,737,88,0,38,0,0
LongParameterList,2,0,0,169,25,9,4,1190,347,0,38,0,0
LongMethod,2,0,0,78,12,9,2,530,130,0,10,0,0
LongParameterList,1,0,0,35,17,7,4,175,51,0,1,0,0
LongMethod,3,0,0,358,25,33,4,1770,417,0,22,0,0
LongMethod,3,0,0,306,25,8,10,1172,463,0,35,0,0
NoneSmellorUnknown,0,0,0,4,1,1,0,36,8,0,1,0,0
DeepNesting,1,0,0,11,5,2,4,78,25,0,1,0,0
LongMethod,2,0,0,95,25,4,5,686,130,0,13,0,0
LongParameterList,2,0,0,215,25,9,11,1313,227,0,24,0,0
DeepNesting,3,0,0,130,25,1,12,963,189,0,55,0,0
LongParameterList,2,0,0,52,8,9,3,262,97,0,7,0,0
LargeClass,1,242,24,0,0,0,0,1760,242,0,6,0,2
LongParameterList,3,0,0,70,25,12,4,495,80,0,13,0,0
LargeClass,3,1381,88,0,0,0,0,6277,1381,0,101,74,1
DeepNesting,3,0,0,95,15,4,9,1183,107,0,9,0,0
LongParameterList,2,0,0,101,11,9,3,497,127,0,25,0,0
LargeClass,2,474,13,0,0,0,0,2831,474,0,82,3,2
DeepNesting,2,0,0,20,8,1,7,134,20,0,5,0,0
LargeClass,3,533,28,0,0,0,0,2200,533,0,41,5,2
LongParameterList,1,0,0,149,16,6,2,468,165,0,28,0,0
LongMethod,3,0,0,114,25,18,4,928,157,0,38,0,0
LongParameterList,2,0,0,68,9,10,5,313,73,0,1,0,0
DeepNesting,3,0,0,217,25,2,16,2084,316,0,143,0,0
DeepNesting,1,0,0,80,25,1,4,665,96,0,18,0,0
LargeClass,2,596,12,0,0,0,0,2411,596,0,75,15,2
DeepNesting,1,0,0,35,7,1,4,326,38,0,3,0,0
DeepNesting,1,0,0,422,25,30,4,3629,422,0,19,0,0
LongMethod,1,0,0,53,20,2,4,445,54,0,15,0,0
LongMethod,3,0,0,194,25,11,4,555,212,0,16,0,0
LongMethod,3,0,0,187,25,26,5,1340,229,0,45,0,0
LongParameterList,1,0,0,37,6,6,0,157,40,0,0,0,0
LongParameterList,2,0,0,53,11,9,1,468,61,0,8,0,0
LongMethod,2,0,0,296,9,57,2,1679,432,0,63,0,0
DeepNesting,2,0,0,41,14,1,6,267,62,0,3,0,0
DeepNesting,2,0,0,52,15,5,6,322,60,0,0,0,0
LongMethod,2,0,0,98,12,6,1,748,124,0,28,0,0
DeepNesting,1,0,0,39,5,3,5,209,45,0,10,0,0
DeepNesting,2,0,0,26,7,0,6,193,28,0,3,0,0
LongMethod,1,0,0,62,11,5,7,425,68,0,15,0,0
NoneSmellorUnknown,0,199,4,0,0,0,0,752,199,0,37,0,2
NoneSmellorUnknown,0,27,0,0,0,0,0,0,27,0,0,0,2
DeepNesting,3,0,0,38,11,3,10,288,56,0,25,0,0
DeepNesting,2,0,0,47,13,2,6,310,84,0,8,0,0
LongMethod,2,0,0,97,21,9,3,469,113,0,14,0,0
DeepNesting,1,0,0,27,6,1,4,188,32,0,6,0,0
LongMethod,2,0,0,79,19,1,4,374,86,0,10,0,0
LargeClass,2,354,13,0,0,0,0,1846,354,0,21,14,0
DeepNesting,1,0,0,34,6,7,4,196,37,0,2,0,0
LargeClass,2,357,19,0,0,0,0,1607,357,0,57,0,2
LongParameterList,3,0,0,63,11,12,1,324,106,0,13,0,0
NoneSmellorUnknown,0,0,0,57,3,3,1,410,62,0,12,0,0
DeepNesting,3,0,0,53,24,2,9,407,72,0,12,0,0
LongMethod,1,0,0,57,7,3,3,243,62,0,7,0,0
LongMethod,2,0,0,78,20,2,5,563,84,0,7,0,0
NoneSmellorUnknown,0,0,0,20,2,2,1,331,30,0,2,0,0
LargeClass,3,1676,24,0,0,0,0,8174,1676,0,7,0,1
LongParameterList,2,0,0,59,11,9,1,309,63,0,5,0,0
LargeClass,3,1294,49,0,0,0,0,7653,1294,0,106,4,0
LongMethod,1,0,0,59,9,1,0,657,76,0,15,0,0
DeepNesting,1,0,0,19,5,2,4,181,19,0,1,0,0
LongMethod,3,0,0,490,25,33,4,2479,581,0,46,0,0
DeepNesting,1,0,0,174,16,3,4,965,356,0,28,0,0
LargeClass,2,350,25,0,0,0,0,1993,350,0,68,8,0
LargeClass,2,455,12,0,0,0,0,2655,455,0,25,33,3
LargeClass,3,473,82,0,0,0,0,5938,473,0,94,37,0
LargeClass,3,497,41,0,0,0,0,3206,497,0,26,35,3
LongParameterList,3,0,0,104,13,14,0,513,109,0,0,0,0
LargeClass,2,366,12,0,0,0,0,1617,366,0,54,1,0
LargeClass,3,507,47,0,0,0,0,4125,507,0,61,4,2
LargeClass,2,325,13,0,0,0,0,1120,325,0,43,24,3
LargeClass,2,326,16,0,0,0,0,1168,326,0,32,13,0
LargeClass,2,312,23,0,0,0,0,1613,312,0,12,3,2
DeepNesting,1,0,0,29,16,4,4,437,36,0,5,0,0
NoneSmellorUnknown,0,0,0,13,1,1,0,89,17,0,0,0,0
LongParameterList,2,0,0,42,19,8,3,191,46,0,12,0,0
LargeClass,2,319,16,0,0,0,0,1107,319,0,5,0,2
LongParameterList,2,0,0,74,9,8,2,197,123,0,11,0,0
LargeClass,3,3152,387,0,0,0,0,15199,3152,0,470,22,1
NoneSmellorUnknown,0,0,0,2,1,2,0,18,2,0,0,0,0
LongMethod,1,0,0,55,8,2,3,377,55,0,4,0,0
LargeClass,1,221,10,0,0,0,0,1107,221,0,9,4,1
DeepNesting,3,0,0,29,16,1,8,165,34,0,10,0,0
LongParameterList,3,0,0,113,24,28,2,620,127,0,20,0,0
LargeClass,2,945,12,0,0,0,0,3573,945,0,85,2,2
DeepNesting,1,0,0,52,7,4,4,293,61,0,8,0,0
DeepNesting,2,0,0,53,24,1,7,255,71,0,3,0,0
LongMethod,2,0,0,93,25,3,9,950,128,0,33,0,0
LargeClass,2,357,20,0,0,0,0,2648,357,0,86,0,2
LargeClass,2,377,21,0,0,0,0,1434,377,0,21,10,2
LongMethod,1,0,0,70,22,2,3,515,89,0,11,0,0
LongParameterList,1,0,0,99,13,7,2,552,118,0,4,0,0
LargeClass,1,257,18,0,0,0,0,1823,257,0,45,6,1
LongMethod,2,0,0,88,15,1,6,317,102,0,8,0,0
DeepNesting,1,0,0,61,18,2,5,368,84,0,21,0,0
LargeClass,2,323,34,0,0,0,0,1965,323,0,96,3,1
DeepNesting,1,0,0,42,18,2,4,375,59,0,3,0,0
DeepNesting,1,0,0,73,14,0,4,379,84,0,7,0,0
DeepNesting,1,0,0,24,9,3,4,155,34,0,2,0,0
LargeClass,3,453,37,0,0,0,0,3535,453,0,144,0,2
DeepNesting,2,0,0,39,20,2,7,689,47,0,12,0,0
LargeClass,3,1188,27,0,0,0,0,6354,1188,0,248,106,0
NoneSmellorUnknown,0,0,0,3,1,1,0,22,4,0,1,0,0
LongParameterList,1,0,0,60,15,6,2,372,68,0,22,0,0
LongParameterList,1,0,0,64,10,6,3,433,73,0,19,0,0
LongMethod,1,0,0,51,11,1,5,348,55,0,6,0,0
DeepNesting,2,0,0,64,21,3,6,403,79,0,12,0,0
LongParameterList,1,0,0,24,6,8,3,164,27,0,9,0,0
NoneSmellorUnknown,0,0,0,4,1,2,0,28,4,0,0,0,0
NoneSmellorUnknown,0,0,0,25,1,3,0,160,29,0,4,0,0
DeepNesting,1,0,0,20,12,3,4,201,24,0,9,0,0
LongMethod,3,0,0,236,25,11,4,1519,258,0,34,0,0
LongParameterList,2,0,0,63,18,8,4,417,111,0,37,0,0
NoneSmellorUnknown,0,163,8,0,0,0,0,282,163,0,24,15,1
NoneSmellorUnknown,0,0,0,7,1,2,0,41,7,0,1,0,0
DeepNesting,2,0,0,40,10,1,7,226,43,0,9,0,0
DeepNesting,3,0,0,82,25,2,15,734,101,0,13,0,0
LargeClass,1,223,14,0,0,0,0,669,223,0,20,0,2
LongMethod,2,0,0,88,12,1,3,706,106,0,27,0,0
LongMethod,1,0,0,58,11,4,0,319,77,0,0,0,0
LongParameterList,3,0,0,75,15,12,4,308,115,0,7,0,0
LongParameterList,2,0,0,63,14,8,2,290,128,0,19,0,0
LongMethod,1,0,0,93,7,1,1,507,110,0,24,0,0
DeepNesting,2,0,0,88,17,23,6,532,93,0,10,0,0
DeepNesting,3,0,0,152,25,3,8,1174,177,0,3,0,0
LongParameterList,2,0,0,38,9,10,2,385,45,0,7,0,0
LongParameterList,2,0,0,37,11,8,3,284,45,0,19,0,0
DeepNesting,2,0,0,162,25,5,7,648,186,0,30,0,0
LongMethod,2,0,0,82,11,2,2,768,117,0,1,0,0
LargeClass,2,323,16,0,0,0,0,2366,323,0,38,25,1
LargeClass,3,904,15,0,0,0,0,3940,904,0,31,54,1
LongMethod,1,0,0,59,9,9,3,455,73,0,7,0,0
LongParameterList,2,0,0,92,11,9,3,662,113,0,8,0,0
DeepNesting,3,0,0,29,10,4,8,133,29,0,3,0,0
NoneSmellorUnknown,0,0,0,110,1,1,1,482,119,0,8,0,0
LongMethod,3,0,0,100,25,3,5,743,134,0,33,0,0
LongParameterList,3,0,0,88,20,11,4,625,100,0,24,0,0
DeepNesting,3,0,0,211,25,0,22,1456,218,0,3,0,0
LongParameterList,3,0,0,123,25,12,3,635,134,0,15,0,0
NoneSmellorUnknown,0,0,0,18,1,1,0,111,20,0,5,0,0
LargeClass,3,473,39,0,0,0,0,2824,473,0,44,44,2
LargeClass,1,248,17,0,0,0,0,1729,248,0,40,15,1
LongParameterList,1,0,0,24,9,7,2,450,28,0,12,0,0
LongMethod,1,0,0,56,10,2,3,381,75,0,39,0,0
DeepNesting,1,0,0,60,18,6,4,553,67,0,18,0,0
LargeClass,2,359,41,0,0,0,0,2288,359,0,90,4,1
DeepNesting,3,0,0,312,25,2,9,2384,377,0,83,0,0
LongParameterList,1,0,0,41,6,12,1,172,45,0,2,0,0
NoneSmellorUnknown,0,0,0,19,4,2,1,208,22,0,11,0,0
LongMethod,3,0,0,100,25,6,4,636,106,0,25,0,0
LongMethod,1,0,0,72,25,4,6,659,78,0,31,0,0
DeepNesting,3,0,0,190,25,2,19,1305,222,0,92,0,0
LargeClass,1,237,16,0,0,0,0,1223,237,0,2,3,0
LongParameterList,2,0,0,106,24,8,7,807,121,0,7,0,0
LongParameterList,3,0,0,85,16,11,0,376,94,0,0,0,0
LongMethod,2,0,0,80,10,5,3,383,89,0,16,0,0
LongParameterList,3,0,0,49,12,11,2,265,54,0,6,0,0
LongMethod,1,0,0,77,7,3,2,127,84,0,4,0,0
LongMethod,3,0,0,102,25,2,10,949,127,0,15,0,0
LargeClass,3,1361,97,0,0,0,0,10707,1361,0,243,0,1
LargeClass,3,529,32,0,0,0,0,2397,529,0,41,0,4
DeepNesting,3,0,0,136,25,6,12,944,168,0,28,0,0
LongMethod,1,0,0,63,13,0,2,489,101,0,13,0,0
LongParameterList,1,0,0,24,6,9,1,96,35,0,6,0,0
DeepNesting,2,0,0,225,25,16,6,874,249,0,29,0,0
NoneSmellorUnknown,0,0,0,16,1,7,0,58,16,0,0,0,0
LongParameterList,1,0,0,16,7,8,2,204,19,0,10,0,0
LargeClass,1,278,13,0,0,0,0,1581,278,0,11,13,2
LongMethod,3,0,0,100,15,7,2,484,117,0,10,0,0
DeepNesting,1,0,0,14,5,3,4,105,21,0,1,0,0
LongParameterList,1,0,0,20,10,6,2,133,20,0,1,0,0
LargeClass,2,385,20,0,0,0,0,1795,385,0,47,20,4
LargeClass,1,790,10,0,0,0,0,4456,790,0,34,25,1
DeepNesting,1,0,0,25,13,2,5,190,25,0,19,0,0
LargeClass,2,337,15,0,0,0,0,441,337,0,25,0,1
LongParameterList,3,0,0,495,25,13,3,1156,536,0,64,0,0
LargeClass,3,402,15,0,0,0,0,3249,402,0,50,6,2
DeepNesting,1,0,0,80,24,1,4,483,94,0,5,0,0
LargeClass,3,996,52,0,0,0,0,5302,996,0,184,2,3
NoneSmellorUnknown,0,0,0,15,2,1,1,44,15,0,0,0,0
LargeClass,2,481,12,0,0,0,0,1991,481,0,71,1,0
NoneSmellorUnknown,0,21,2,0,0,0,0,147,21,0,3,0,2
LongParameterList,1,0,0,27,8,6,4,159,37,0,5,0,0
LongMethod,2,0,0,90,24,7,5,447,92,0,7,0,0
NoneSmellorUnknown,0,0,0,34,1,1,0,167,38,0,6,0,0
DeepNesting,2,0,0,36,17,3,6,341,47,0,7,0,0
LongMethod,3,0,0,370,25,0,7,3017,670,0,74,0,0
LongParameterList,3,0,0,674,25,43,5,2278,801,0,70,0,0
LongMethod,2,0,0,84,8,5,4,360,92,0,2,0,0
LargeClass,3,609,55,0,0,0,0,3883,609,0,107,31,1
LongMethod,2,0,0,82,17,1,7,594,84,0,27,0,0
LargeClass,3,812,20,0,0,0,0,3216,812,0,57,13,2
LongMethod,1,0,0,69,18,1,5,416,108,0,9,0,0
LargeClass,3,571,24,0,0,0,0,1495,571,0,64,10,3
LongParameterList,2,0,0,49,17,8,4,327,51,0,10,0,0
LongParameterList,2,0,0,21,9,8,2,168,27,0,2,0,0
NoneSmellorUnknown,0,0,0,12,1,1,0,103,14,0,1,0,0
DeepNesting,1,0,0,41,10,3,5,240,55,0,12,0,0
DeepNesting,3,0,0,201,25,10,11,1057,227,0,16,0,0
LongMethod,1,0,0,68,10,4,2,221,82,0,10,0,0
DeepNesting,3,0,0,45,16,4,8,379,52,0,3,0,0
LargeClass,1,239,23,0,0,0,0,915,239,0,26,3,1
LargeClass,2,308,16,0,0,0,0,1064,308,0,32,1,2
LargeClass,1,330,10,0,0,0,0,1356,330,0,17,4,2
LongMethod,3,0,0,240,25,25,4,1071,288,0,16,0,0
LongParameterList,3,0,0,86,10,14,2,263,98,0,7,0,0
DeepNesting,1,0,0,28,10,2,4,187,37,0,6,0,0
LongMethod,1,0,0,51,10,4,4,447,60,0,9,0,0
LongParameterList,1,0,0,27,6,7,4,131,32,0,0,0,0
DeepNesting,3,0,0,28,12,3,9,168,29,0,12,0,0
DeepNesting,2,0,0,11,8,1,6,58,12,0,0,0,0
DeepNesting,1,0,0,158,25,5,4,1073,217,0,21,0,0
DeepNesting,3,0,0,27,14,1,8,261,31,0,6,0,0
LongParameterList,2,0,0,70,24,8,3,457,114,0,3,0,0
DeepNesting,2,0,0,82,22,4,6,445,92,0,24,0,0
DeepNesting,3,0,0,43,13,1,9,477,44,0,18,0,0
DeepNesting,1,0,0,68,18,2,5,436,78,0,4,0,0
LargeClass,2,325,22,0,0,0,0,1514,325,0,11,9,1
DeepNesting,1,0,0,27,11,6,4,303,40,0,7,0,0
LongParameterList,2,0,0,45,8,12,1,341,50,0,17,0,0
LongMethod,1,0,0,50,11,4,4,448,83,0,6,0,0
DeepNesting,2,0,0,33,11,0,6,342,83,0,3,0,0
LongParameterList,3,0,0,52,22,10,3,222,57,0,13,0,0
DeepNesting,3,0,0,27,14,2,8,220,27,0,8,0,0
LongMethod,3,0,0,261,25,16,2,1120,583,0,39,0,0
LongMethod,1,0,0,64,19,4,3,270,70,0,11,0,0
LongParameterList,1,0,0,86,6,16,0,446,93,0,0,0,0
LargeClass,1,213,12,0,0,0,0,1127,213,0,26,15,2
LargeClass,2,352,14,0,0,0,0,2161,352,0,68,4,0
LargeClass,3,1305,22,0,0,0,0,5594,1305,0,147,14,7
DeepNesting,1,0,0,19,10,7,4,204,27,0,5,0,0
LargeClass,2,352,17,0,0,0,0,895,352,0,3,46,2
LargeClass,3,593,24,0,0,0,0,2386,593,0,55,12,2
LargeClass,2,373,21,0,0,0,0,2670,373,0,66,5,0
LongMethod,1,0,0,50,8,7,1,276,64,0,6,0,0
LargeClass,1,267,11,0,0,0,0,697,267,0,44,3,1
LongMethod,2,0,0,79,11,3,0,431,85,0,0,0,0
LongMethod,1,0,0,50,7,5,1,173,70,0,3,0,0
LongMethod,1,0,0,65,20,2,7,361,68,0,36,0,0
DeepNesting,1,0,0,46,17,2,4,291,61,0,1,0,0
DeepNesting,3,0,0,80,25,5,16,685,98,0,22,0,0
LargeClass,1,238,13,0,0,0,0,1443,238,0,2,1,1
DeepNesting,1,0,0,93,25,7,4,708,121,0,1,0,0
LargeClass,2,321,17,0,0,0,0,1124,321,0,34,9,2
DeepNesting,1,0,0,29,10,1,5,113,29,0,1,0,0
LargeClass,2,383,22,0,0,0,0,1440,383,0,20,4,0
LargeClass,2,374,32,0,0,0,0,1722,374,0,37,6,2
DeepNesting,1,0,0,15,8,4,4,97,15,0,0,0,0
LongParameterList,2,0,0,97,19,9,4,530,107,0,2,0,0
LongParameterList,1,0,0,16,6,6,3,118,16,0,1,0,0
LongMethod,3,0,0,104,13,9,3,505,112,0,11,0,0
NoneSmellorUnknown,0,0,0,11,1,0,0,61,16,0,5,0,0
DeepNesting,2,0,0,17,9,4,7,166,17,0,5,0,0
DeepNesting,3,0,0,274,25,23,8,1276,341,0,22,0,0
DeepNesting,1,0,0,13,8,2,4,91,16,0,8,0,0
LongMethod,1,0,0,62,25,4,2,389,80,0,19,0,0
LongMethod,2,0,0,99,12,2,6,530,118,0,10,0,0
LongParameterList,2,0,0,69,13,8,3,555,75,0,13,0,0
DeepNesting,1,0,0,85,25,3,4,797,124,0,47,0,0
LongParameterList,3,0,0,55,18,10,3,536,68,0,6,0,0
LargeClass,3,3236,174,0,0,0,0,30468,3236,0,768,8,2
LongParameterList,3,0,0,516,25,22,3,1784,602,0,32,0,0
LongParameterList,3,0,0,65,11,11,2,459,79,0,14,0,0
DeepNesting,2,0,0,143,25,4,6,864,187,0,11,0,0
LongParameterList,2,0,0,16,14,8,1,141,16,0,2,0,0
LargeClass,2,341,19,0,0,0,0,1491,341,0,25,0,2
LongParameterList,2,0,0,69,18,8,2,348,77,0,15,0,0
LongMethod,2,0,0,89,9,3,2,1117,92,0,10,0,0
DeepNesting,3,0,0,57,25,2,8,891,65,0,17,0,0
LongParameterList,1,0,0,21,15,6,4,247,21,0,6,0,0
DeepNesting,2,0,0,35,13,4,6,414,43,0,32,0,0
DeepNesting,1,0,0,23,6,2,4,130,26,0,2,0,0
LongMethod,2,0,0,75,9,4,2,210,114,0,14,0,0
LargeClass,1,252,22,0,0,0,0,1071,252,0,13,3,1
DeepNesting,3,0,0,60,23,1,8,341,78,0,4,0,0
LongMethod,1,0,0,66,17,9,3,408,93,0,7,0,0
DeepNesting,3,0,0,210,25,3,10,1311,329,0,36,0,0
LongMethod,2,0,0,88,25,7,10,873,130,0,16,0,0
LargeClass,3,610,21,0,0,0,0,3203,610,0,79,54,2
LongParameterList,2,0,0,78,25,8,6,592,88,0,24,0,0
DeepNesting,2,0,0,75,25,2,6,723,107,0,30,0,0
LongMethod,3,0,0,554,25,1,8,3959,714,0,86,0,0
DeepNesting,2,0,0,46,9,1,7,91,46,0,6,0,0
DeepNesting,1,0,0,20,9,1,4,188,26,0,2,0,0
LongMethod,2,0,0,93,20,2,4,429,103,0,28,0,0
LargeClass,1,220,16,0,0,0,0,824,220,0,50,0,1
DeepNesting,3,0,0,62,25,9,9,497,91,0,20,0,0
LongMethod,3,0,0,145,25,5,3,727,188,0,29,0,0
LargeClass,3,1114,19,0,0,0,0,5270,1114,0,173,31,2
