Model,Val MCC,Val Accuracy,Val Macro F1,Val Log Loss,Test MCC,Test Accuracy,Test Macro F1,Test Log Loss
SVM,0.8763646816141533,0.9112820512820513,0.9263294052323989,0.32883538846657,0.8616912612068682,0.901025641025641,0.916576568179218,0.36411766893609765
RandomForest,0.8725574942372486,0.9092307692307692,0.9057159176852176,0.28044731861328664,0.8460032875969871,0.8902564102564102,0.8889491066490012,0.3183575155598518
XGBoost,0.9039104737780268,0.9312820512820513,0.9423351763054866,0.161337504524232,0.898379467229841,0.9271794871794872,0.9403025202043107,0.17124706222787095
