Ablation_Name,Features_Count,Accuracy,MCC,Macro_F1,Log_Loss
RawFeaturesOnly,12,0.9287179487179488,0.9004081583647612,0.9421302749804504,0.17206733454222922
AllOriginalAndEngineeredFeatures,17,0.9251282051282051,0.8953733459120851,0.9386462808419556,0.17361801490753256
Top10SelectedFeatures_Baseline,10,0.9282051282051282,0.8996927477596172,0.9410658847701054,0.17315635814615182
